20.4022,77.1539,49.0364,28.2207,137.3670,22.5829,26.9233,141.1751,54.0253,33.3474,149.3739,53.1979,52.0196,138.7185,48.4916,10.0000
15.6898,15.6622,45.4205,53.1418,72.9609,24.9312,9.1301,19.6459,4.6499,3.4737,15.1228,8.1374,14.5478,17.0723,13.4383,1.0000
23.9473,24.2883,18.4330,38.4180,38.6740,11.5842,54.2373,117.2780,46.6622,74.1171,112.4030,61.2671,84.4514,105.2920,68.2060,2.0000
34.6277,36.8039,4.8630,11.8727,7.0354,6.6772,17.9537,2.5841,10.8546,45.0314,120.2623,23.4800,49.1471,122.6647,23.0540,3.0000
30.1477,1.8351,24.7343,6.5316,4.5503,2.5217,30.7748,128.0491,15.5945,38.3831,127.9142,17.5976,6.6413,13.0286,8.0128,4.0000
19.8688,4.0522,29.6733,92.9681,85.7959,58.0111,92.7931,86.8909,38.6592,78.5794,94.5764,39.0056,35.6481,17.2978,5.5071,5.0000
43.6647,32.8612,45.4656,25.8198,10.6465,4.1119,36.1923,129.0397,21.3060,36.3131,142.5475,17.7986,24.1372,157.9601,11.1557,6.0000
12.3500,60.5475,13.1042,67.7400,41.9577,16.4439,128.2612,29.2364,78.9739,128.7113,48.3136,101.2254,119.4713,43.3547,105.8367,7.0000
6.2126,18.1798,29.2546,75.3473,122.2322,51.0982,66.6661,160.3449,19.7897,52.4245,163.5454,14.8416,56.6625,165.7422,7.3510,8.0000
19.8188,3.4909,7.4313,43.3585,114.8523,12.5938,47.5361,124.4320,17.7547,55.0051,130.6497,26.1798,69.2583,119.7541,36.5774,9.0000
